Part Number,Brand,Model,Benchmark
,Intel,Core i7-10510U,56.4
,AMD,FX-8120,56.4
,AMD,Phenom II X4 970,56.3
,Intel,Core i7-2670QM,56.3
,Intel,Xeon E5-2609 0,56.3
BX80662G4500,Intel,Pentium G4500,56.3
,Intel,Core i5-4258U,56.3
BX80677G3950,Intel,Celeron G3950,56.2
,Intel,Core i3-4130T,56.2
,Intel,Core i7-5650U,56.1
,Intel,Core i7 Q 840,56.1
,Intel,Pentium G3450,56.0
,Intel,Core i7-4600M,56.0
,Intel,Core i7-3540M,56.0
,Intel,Core i5-6260U,55.9
,AMD,Phenom II X6 1075T,55.9
,AMD,Phenom II X4 B60,55.8
,Intel,Core i5-3470T,55.8
,AMD,FX-4170 Quad-Core,55.6
BX80701G5900,Intel,Celeron G5900,55.5
,Intel,Core i5-1035G4,55.5
,AMD,FX-6120 Six-Core,55.4
,Intel,Core i5-3380M,55.4
BX80662I36100,Intel,Core i3-6100,55.4
BX80646I34150,Intel,Core i3-4150,55.2
FF8062700837005,Intel,Core i7-2630QM,55.2
FD6300WMHKBOX,AMD,FX-6300,55.2
,Intel,Xeon E5507,55.2
,Intel,Core i3-3240,55.1
BX80646I34160,Intel,Core i3-4160,55.1
,AMD,Ryzen 3 2300U,55.0
,Intel,Core i7-7560U,54.9
,Intel,Core i3-7130U,54.9
FJ8068404064405,Intel,Core i7-8565U,54.7
,Intel,Core i5-5257U,54.6
,Intel,Core i3-3220T,54.6
,AMD,Ryzen 3 3300U,54.5
,Intel,Xeon X5470,54.5
,Intel,Core i3-6157U,54.4
,Intel,Xeon E5506,54.2
,Intel,Core i7-7660U,54.2
,AMD,Ryzen 7 3750H,54.1
,AMD,Phenom II X4 20,54.1
HDT55TFBGRBOX,AMD,Phenom II X6 1055T,54.0
,AMD,Phenom II X4 B55,54.0
,AMD,Phenom II X4 960T,53.9
,Intel,Core i5-3360M,53.9
,Intel,Core i7 Q 740,53.8
,Intel,Core i5-6300HQ,53.7
,Intel,Core i7-2640M,53.7
,Intel,Pentium G2130,53.6
BX80701G5920,Intel,Celeron G5920,53.6
FD6100WMGUSBX,AMD,FX-6100,53.5
YD200GC6FBBOX,AMD,Athlon 200GE,53.5
BX80646G3420,Intel,Pentium G3420,53.5
,AMD,Phenom II X6 1045T,53.5
,Intel,Core i5-10210U,53.4
,AMD,A10-6790K APU (2013 D.Ri),53.3
,Intel,Core i3-2120T,53.3
,Intel,Core i7-3520M,53.2
,AMD,Ryzen 5 3550H,53.2
,Intel,Core i7-1065G7,53.2
,Intel,Core i5-8250U,53.1
,Intel,Core i7-6650U,53.1
,Intel,Core i7-8550U,53.0
,Intel,Core i5-2435M,52.9
YD3000C6FHBOX,AMD,Athlon 3000G,52.9
,AMD,Phenom II X6 1035T,52.9
,AMD,Phenom II X4 840T,52.9
,Intel,Core i3-8145U,52.8
FJ8068404064604,Intel,Core i5-8265U,52.7
,Intel,Core i7-3687U,52.6
,Intel,Pentium G2120,52.6
BX80646G3258,Intel,Pentium G3258,52.6
,Intel,Core2 Extreme X9650,52.6
,Intel,Core i5-3340M,52.6
HDZ965FBGMBOX,AMD,Phenom II X4 965,52.6
BX80646G1850,Intel,Celeron G1850,52.5
,Intel,Core i7 Q 820,52.5
BX80646G1830,Intel,Celeron G1830,52.4
,Intel,Pentium G870,52.4
BX80646I34130,Intel,Core i3-4130,52.3
,Intel,Core i7-8650U,52.3
,Intel,Core i7-2620M,52.2
,AMD,Phenom II X4 830,52.2
,Intel,Core i3-3220,52.1
BX80684G4900,Intel,Celeron G4900,52.1
,AMD,Ryzen 7 2700U,52.1
,Intel,Xeon E5-2680 v2,52.0
,AMD,FX-4130 Quad-Core,52.0
,Intel,Xeon E5504,51.9
,Intel,Pentium G3260,51.8
,Intel,Core i5 680,51.8
,AMD,Phenom II X4 910e,51.8
,AMD,A10-5800B APU (2012 D.Tr),51.7
FD4300WMHKBOX,AMD,FX-4300,51.6
,Intel,Core i5-8350U,51.6
,Intel,Xeon X5460,51.6
,AMD,Phenom II X4 B50,51.6
,Intel,Core i5-2540M,51.5
,Intel,Core i7-3537U,51.5
,Intel,Core i5-4300M,51.5
,AMD,Phenom II X4 945,51.5
HDZ955FBGMBOX,AMD,Phenom II X4 955,51.5
AD680KWOHLBOX,AMD,A10-6800K APU (2013 D.Ri),51.5
,AMD,Athlon II X4 760K (2013 D.Ri),51.5
,Intel,Core i7-2677M,51.4
,Intel,Pentium G860,51.4
,AMD,FX-4100,51.4
,Intel,Pentium G840,51.3
,Intel,Core i5-4210M,51.3
,Intel,Pentium G3250,51.2
,Intel,Core i5-2415M,51.1
,Intel,Core i7-4650U,51.1
,Intel,Core i7-2637M,51.1
,Intel,Core i5-1035G1,51.1
AD750KWOHJBOX,AMD,Athlon II X4 750K,51.1
,AMD,Phenom II X4 B45,51.1
,Intel,Core i3-4000M,51.0
,AMD,Phenom II X4 B40,50.9
,Intel,Pentium G850,50.9
,Intel,Core i7-3667U,50.9
,Intel,Core i3-2100,50.9
,AMD,Phenom II X4 905e,50.9
,Intel,Xeon X5472,50.8
,Intel,Core2 Quad Q9650,50.7
,Intel,Core i3-2120,50.7
,Intel,Core i7 Q 720,50.7
,Intel,Core i7-3517U,50.7
,AMD,Phenom II X4 925,50.7
,Intel,Xeon E5472,50.7
,Intel,Core i5 K 655,50.7
,Intel,Pentium G2010,50.6
,Intel,Xeon E5450,50.5
,Intel,Xeon W3505,50.5
,Intel,Core i7-4550U,50.5
,Intel,Core i5-4250U,50.4
BX80646G3240 ,Intel,Pentium G3240,50.2
,AMD,Phenom II X4 920,50.2
,Intel,Xeon E5-2603 0,50.2
,Intel,Core i7-8500Y,50.1
,Intel,Core i7-4500U,50.1
,Intel,Core i3-3120M,50.1
,Intel,Pentium G645,49.9
AD580KWOHJBOX,AMD,A10-5800K APU (2012 D.Tr),49.9
,AMD,A8-6600K APU,49.8
,Intel,Core i5 661,49.8
,Intel,Xeon E7- 4870,49.8
,Intel,Pentium 5405U,49.8
,AMD,A8-6500 APU,49.8
AD6700OKHLBOX,AMD,A10-6700 APU (2013 D.Ri),49.7
,Intel,Core i5-2557M,49.7
,Intel,Core i3-1115G4,49.6
,Intel,Core i5-4200M,49.6
,Intel,Core i7-7600U,49.6
,AMD,Athlon II X4 651,49.6
,Intel,Core i7-5600U,49.6
,Intel,Xeon X5450,49.6
,Intel,Core i5-2430M,49.5
,AMD,Phenom II X4 810,49.5
,Intel,Celeron G1620,49.5
BX80662G3900,Intel,Celeron G3900,49.5
,AMD,Phenom II X4 850,49.4
,AMD,Ryzen 7 3700U,49.4
,Intel,Core i5-5250U,49.4
,Intel,Core i7-3689Y,49.4
,Intel,Core i5-4310U,49.4
BX80646G1820,Intel,Celeron G1820,49.2
,Intel,Core2 Quad Q9450,49.2
,Intel,Core i7-4600U,49.1
,AMD,A8-5600K APU,49.1
,Intel,Pentium 3550M,49.1
,AMD,Phenom II X4 940,49.0
,Intel,Core i5-3437U,49.0
,Intel,Xeon E5440,49.0
,Intel,Core2 Quad Q9550,48.9
,Intel,Pentium G2020,48.9
,AMD,Ryzen 5 2500U,48.9
,Intel,Core i3-2370M,48.9
,Intel,Core i5-2450M,48.9
,Intel,Pentium G2030,48.9
,Intel,Xeon W3503,48.8
,AMD,Athlon II X4 740K,48.8
,Intel,Core i3-2348M,48.8
,Intel,Core i5 660,48.7
,Intel,Core i5-3427U,48.7
AW8063801208001,Intel,Core i5-3230M,48.7
FJ8067702739932,Intel,Pentium 4415U,48.7
,Intel,Celeron G1610,48.6
,Intel,Core i5-8200Y,48.6
BX80646G1840,Intel,Celeron G1840,48.6
,Intel,Core i5-8210Y,48.5
,Intel,Pentium 4417U,48.5
,Intel,Pentium G640,48.3
AD5700OKHJBOX,AMD,A10-5700 APU (2012 D.Tr),48.3
BX80646G3220,Intel,Pentium G3220,48.3
BX80677G3930,Intel,Celeron G3930,48.2
,Intel,Core i3-3110M,48.2
,AMD,Ryzen 5 3500U,48.1
,AMD,Phenom II X3 720,48.1
,Intel,Core i7-7500U,48.1
,Intel,Xeon E5430,48.0
FJ8066201930905,Intel,Pentium 4405U,48.0
,Intel,Core i5-3320M,48.0
,AMD,Phenom II X2 565,48.0
,AMD,Athlon II X4 641,47.9
AD5500OKHJBOX,AMD,A8-5500 APU,47.9
,Intel,Core i5-2410M,47.9
,Intel,Core2 Quad Q9500,47.9
AW8063801032301,Intel,Core i5-3210M,47.8
,Intel,Core i3-5015U,47.8
,Intel,Core i3-5010U,47.7
,Intel,Xeon E5462,47.6
,Intel,Celeron G550,47.6
,Intel,Core i5-2520M,47.6
FJ8067703282227,Intel,Core i3-8130U,47.6
,Intel,Core i3-2328M,47.5
BX80662G4400,Intel,Pentium G4400,47.5
,Intel,Core m3-8100Y,47.4
,AMD,A8-7670K APU (2014 D.Ka),47.4
,AMD,Phenom II X4 840,47.3
,Intel,Pentium G630,47.3
,Intel,Core i5-3317U,47.2
,AMD,Phenom II X3 710,47.2
,Intel,Core i5-7Y54,47.2
,Intel,Core i5-3337U,47.2
,Intel,Core i7-4510U,47.1
,Intel,Core i3-2330M,47.0
,Intel,Core i3 550,47.0
,Intel,Core i3-2350M,47.0
,Intel,Core m3-7Y32,47.0
,Intel,Core2 Quad Q9505,47.0
AD789KXDJCHBX,AMD,A10-7890K APU (2014 D.Ka),47.0
,Intel,Core i3-10110U,46.9
,Intel,Xeon E5-2660 v2,46.9
,Intel,Celeron G540,46.9
,Intel,Xeon L5420,46.7
,AMD,A10-6700T APU (2013 D.Ri),46.7
,Intel,Pentium 2020M,46.7
,AMD,A8-3870 APU,46.7
,Intel,Core2 Extreme Q6850,46.7
,Intel,Core M-5Y10,46.5
,AMD,Phenom 9950,46.5
,AMD,Phenom II X2 560,46.5
,Intel,Core i3-2310M,46.5
,Intel,Core m3-7Y30,46.4
,AMD,Athlon II X4 631,46.4
,Intel,Pentium G620,46.4
,Intel,Core i5 650,46.3
,AMD,Athlon II X3 460,46.3
AD870KXBJCSBX,AMD,Athlon II X4 870K,46.2
,Intel,Core i7-5500U,46.2
,Intel,Core2 Extreme Q9300,46.1
,Intel,Core2 Quad Q9400,46.1
,Intel,Pentium B980,46.1
AD880KXBJCSBX,AMD,Athlon X4 880K,46.1
,AMD,A8-3850 APU,46.0
,AMD,A6-3670 APU,46.0
,AMD,Athlon II X4 645,46.0
,Intel,Core M-5Y70,46.0
,AMD,Phenom 9850,45.9
,Intel,Core i3 540,45.9
,Intel,Celeron G530,45.9
AD787KXDJCBOX,AMD,A10-7870K APU (2014 D.Ka),45.8
,AMD,Phenom II X2 550,45.8
,Intel,Core M-5Y10a,45.7
,Intel,Core i7-6500U,45.6
,Intel,Pentium B970,45.6
,Intel,Core i3 530,45.6
,Intel,Core2 Quad Q9300,45.5
,Intel,Core i5-7200U,45.4
AD860KXBJASBX,AMD,Athlon II X4 860K,45.4
,Intel,Core i3-3227U,45.4
,AMD,Athlon II X2 265,45.4
,AMD,Athlon II X4 635,45.3
,Intel,Core i5-2467M,45.3
,AMD,Phenom II X2 555,45.3
,AMD,Athlon II X3 455,45.2
,Intel,Xeon E5420,45.2
,AMD,Ryzen 3 2200U,45.1
,AMD,Phenom II X2 545,45.1
AD785KXBJABOX,AMD,A10-7850K APU (2014 D.Ka),45.1
,AMD,A8-7500 APU (2014 M.Ka),45.0
AD845XACKASBX,AMD,Athlon X4 845,45.0
,Intel,Core M-5Y71,45.0
,Intel,Core i5-7300U,45.0
YM300UC4T2OFG,AMD,Athlon 300U,44.9
,AMD,Athlon II X4 640,44.8
,Intel,Core2 Quad Q8400,44.6
,AMD,Athlon II X4 630,44.6
,Intel,Core i3-4030U,44.6
,AMD,A10-7700K APU (2014 D.Ka),44.6
,Intel,Core i7-6600U,44.5
,Intel,Core m3-6Y30,44.4
,Intel,Core i5-4210Y,44.4
,Intel,Pentium 2127U,44.4
,Intel,Core i5-3339Y,44.4
,AMD,Phenom 9750,44.4
,AMD,Athlon 64 X2 Dual Core 6400+,44.4
,Intel,Core M-5Y10c,44.4
,AMD,FX-770K (2014 D.Ka),44.3
,AMD,A6-3650 APU,44.3
,Intel,Core i5-4300Y,44.2
,Intel,Core2 Quad Q6700,44.2
,AMD,A4-6320 APU,44.1
,Intel,Celeron 1005M,44.1
,Intel,Pentium 3805U,44.1
AD9700AHABBOX,AMD,A10-9700E APU (2016 D.BR),44.1
,Intel,Core i5-2537M,44.0
AD9800AUABBOX,AMD,A12-9800 APU (2016 M.BR),44.0
,Intel,Core i3-4010U,44.0
,Intel,Pentium B940,44.0
,Intel,Core i3-1005G1,43.8
,Intel,Core2 Quad Q8300,43.8
,Intel,Core2 Duo E8600,43.7
,Intel,Core M-5Y51,43.7
AD765KXBJABOX,AMD,A8-7650K APU (2014 D.Ka),43.7
,Intel,Pentium B960,43.7
,Intel,Core i5-4300U,43.7
,AMD,A10-5757M APU,43.7
,AMD,Athlon II X3 450,43.6
,Intel,Core i7-7Y75,43.6
,AMD,Athlon II X4 620,43.6
,AMD,Athlon II X3 445,43.6
,Intel,Core m5-6Y57,43.5
,Intel,Core i3-6100U,43.4
AM973PAEY44AB,AMD,A12-9730P APU (2016 M.BR),43.4
,Intel,Core i3-7100U,43.4
,Intel,Pentium B950,43.3
,Intel,Core m5-6Y54,43.3
,Intel,Pentium 2117U,43.2
,Intel,Celeron 1037U,43.2
,AMD,Athlon II X3 440,43.1
,AMD,A8-3800 APU,43.1
,Intel,Xeon X3220,43.1
,Intel,Core2 Quad Q8200,43.0
,Intel,Core i7 M 640,43.0
,AMD,Athlon II X3 435,43.0
,AMD,Phenom 9650,43.0
,Intel,Core i3-3217U,43.0
,Intel,Core i5-4202Y,42.9
AD786KYBJCSBX,AMD,A10-7860K APU (2014 D.Ka),42.9
,Intel,Core i5 M 580,42.8
,Intel,Core m7-6Y75,42.8
,AMD,Phenom 9550,42.7
,Intel,Core i3-2375M,42.6
,Intel,Core2 Quad,42.6
,Intel,Core i3-4012Y,42.6
,Intel,Core i5-4200U,42.6
,AMD,Athlon II X2 270,42.6
,Intel,Celeron B830,42.6
,AMD,A10-4600M APU,42.6
,AMD,Athlon II X2 260,42.4
,Intel,Celeron 1000M,42.4
,Intel,Xeon E3110,42.4
,Intel,Celeron B820,42.3
AM963PAEY44AB,AMD,A10-9630P APU (2016 M.BR),42.2
,Intel,Core i3-2367M,42.2
,AMD,Athlon II X3 425,42.1
,Intel,Core i7 M 620,42.1
,Intel,Core i3 M 390,42.0
,AMD,A8-7600 APU (2014 D.Ka),41.9
AD9700AGABBOX,AMD,A10-9700 APU (2016 M.BR),41.9
,Intel,Xeon E5405,41.9
,Intel,Core2 Duo E8500,41.9
,AMD,Athlon II X2 255,41.8
,AMD,A8-5550M APU,41.7
,Intel,Core i5-5200U,41.7
BX80562Q6600,Intel,Core2 Quad Q6600,41.6
,Intel,Celeron B815,41.6
,AMD,Phenom II N660,41.6
,Intel,Core i5-5300U,41.6
,AMD,Athlon II X2 B24,41.6
,Intel,Core2 Quad Q9000,41.5
,Intel,Celeron 887,41.5
,AMD,A10-5750M APU,41.5
,Intel,Core i5 M 560,41.4
,Intel,Core i5-4210U,41.3
,Intel,Core2 Extreme X9100,41.3
,Intel,Core i5-6200U,41.3
,Intel,Core2 Duo E8300,41.3
,Intel,Core i3-2365M,41.2
,AMD,Athlon X2 240,41.1
,Intel,Celeron 1017U,41.1
,Intel,Core i5 M 480,41.1
,AMD,Phenom X3 8650,41.0
,AMD,A8-3530MX APU,40.9
,Intel,Core i5 M 540,40.9
,Intel,Pentium G6950,40.7
,Intel,Xeon E5345,40.7
,AMD,Phenom II N950,40.7
,AMD,A10-7800 APU (2014 D.Ka),40.7
,AMD,Ryzen 3 3200U,40.7
,Intel,Pentium E6800,40.7
AD9800AHABBOX,AMD,A12-9800E APU (2016 M.BR),40.7
,AMD,Athlon 64 X2 Dual Core 6000+,40.7
,Intel,Core2 Duo T9900,40.7
,Intel,Core2 Duo T9800,40.6
,Intel,Core i7 L 640,40.6
,AMD,Athlon II X2 245,40.6
,Intel,Celeron 877,40.5
,AMD,Athlon 7850,40.5
,AMD,A6-3620 APU,40.5
,Intel,Core i3-7020U,40.5
,AMD,Phenom 9150e,40.5
,Intel,Core i5-6300U,40.4
,Intel,Celeron B800,40.4
,AMD,A8-3510MX APU,40.3
,AMD,Athlon II X2 250 (2013 D.Ri),40.3
,Intel,Core2 Duo E8400,40.3
,Intel,Core2 Duo P9700,40.3
,Intel,Core i5 M 460,40.3
,AMD,A6-5400K APU,40.3
,Intel,Celeron 3205U,40.3
,Intel,Core2 Duo E8200,40.2
,Intel,Core i5 M 520,40.1
,AMD,Athlon II X2 240,40.1
,Intel,Core i5 M 450,40.0
,AMD,A4-6300 APU,40.0
,Intel,Pentium 987,39.9
,AMD,A4-5300 APU,39.9
AD9600AGABBOX,AMD,A8-9600 APU (2016 D.BR),39.9
,AMD,A6-6400K APU,39.8
FM983PAEY44AB,AMD,FX-9830P APU (2016 M.BR),39.8
,Intel,Core i3 M 380,39.8
,Intel,Core i3-2357M,39.8
,AMD,Phenom II N850,39.7
,AMD,Phenom II N930,39.7
,Intel,Pentium E6700,39.6
,Intel,Core2 Duo E7600,39.6
,Intel,Core2 X6800,39.6
,Intel,Core2 Duo E6850,39.6
,Intel,Xeon E5335,39.5
FH8068003067415,Intel,Pentium Silver J5005,39.5
,Intel,Core2 Duo T9500,39.4
,Intel,Celeron 1007U,39.4
,Intel,Core i5 M 430,39.4
,AMD,Phenom X3 8450,39.3
HE8067702740049,Intel,Pentium Gold 4425Y,39.3
,Intel,Core i3 M 370,39.3
,Intel,Core2 Duo E7500,39.2
,Intel,Core i7 L 620,39.2
,Intel,Pentium E6500,39.2
,AMD,A6-3500 APU,39.1
,AMD,A4-4000 APU,39.1
,Intel,Core2 Duo T9400,39.1
,AMD,FX-7600P APU (2014 M.Ka),39.1
,Intel,Core2 Duo P9500,39.0
,Intel,Pentium E6600,39.0
,AMD,A8-4500M APU,39.0
,Intel,Core2 6700,39.0
,Intel,Core2 Duo T9600,38.9
HE8067702740013,Intel,Pentium 4410Y,38.9
,AMD,Athlon 7750,38.8
,AMD,Athlon II X2 220,38.7
,AMD,Athlon 64 X2 Dual Core 5600+,38.6
,AMD,A6-7470K APU (2014 D.Ka),38.6
,Intel,Core2 Duo P9600,38.6
,Intel,Core2 Duo T9550,38.6
,Intel,Core i3-4005U,38.5
,Intel,Core2 Duo E7300,38.5
,Intel,Core i3 M 350,38.5
,AMD,Phenom II N830,38.4
,Intel,Core2 Duo E7400,38.4
,AMD,Athlon 64 X2 Dual Core 5400+,38.3
,AMD,A6-3410MX APU,38.3
,Intel,Pentium D 3.73GHz,38.3
HE8067702740018,Intel,Pentium Gold 4415Y,38.2
,Intel,Celeron 2957U,38.1
,Intel,Core2 Duo T9300,38.1
,Intel,Core i3 M 330,38.0
,Intel,Core M-5Y31,38.0
,AMD,Athlon II X2 215,37.8
,AMD,Turion II Ultra Mobile M600,37.8
,Intel,Core2 Duo E6750,37.8
,Intel,Core2 Duo E7200,37.8
,Intel,Pentium E6300,37.8
,AMD,A8-3520M APU,37.7
HE8066201931229,Intel,Pentium 4405Y,37.7
,Intel,Core2 Duo P9400,37.7
,Intel,Pentium 967,37.6
,Intel,Core2 Duo P8800,37.6
,Intel,Core i3-5005U,37.5
,Intel,Pentium E5800,37.5
,AMD,A8-3500M APU,37.4
BX80557E6550,Intel,Core2 Duo E6550,37.4
,AMD,Opteron 4171 HE,37.4
,AMD,A8-7200P APU (2014 M.Ka),37.3
,Intel,Core2 6600,37.3
,Intel,Core2 Duo P8700,37.3
,Intel,Core2 Duo T7700,37.1
,AMD,Athlon Dual Core 4850e,37.1
,Intel,Core2 Duo P9300,37.0
,AMD,Athlon 64 X2 Dual Core 5200+,36.8
,AMD,A10-4655M APU,36.8
,Intel,Core2 Duo P8400,36.8
,Intel,Core2 Duo L9600,36.7
,Intel,Core2 Duo P8600,36.7
,Intel,Core2 Duo T8300,36.6
,Intel,Pentium E5500,36.6
,Intel,Core2 Duo P7570,36.5
,Intel,Core2 6420,36.5
,AMD,A10-5745M APU,36.5
,Intel,Pentium E5700,36.5
,Intel,Core2 Duo L9400,36.5
,AMD,A10-7400P APU (2014 M.Ka),36.4
,AMD,A6-3420M APU,36.3
,Intel,Pentium P6200,36.2
,AMD,Athlon II P360,36.2
,Intel,Pentium E5400,36.2
,AMD,Phenom II P960,36.2
,Intel,Core i3-6006U,36.1
,Intel,Pentium E5200,36.0
,Intel,Pentium E5300,35.9
,AMD,A8-5545M APU,35.9
,AMD,Athlon 64 X2 Dual Core 5000+,35.8
,AMD,Athlon 64 X2 Dual Core 4600+,35.8
,AMD,Athlon X2 Dual Core BE-2400,35.8
,Intel,Atom Z3740D,35.8
,Intel,Xeon E5320,35.8
,Intel,Celeron E3200,35.7
,AMD,Sempron 145,35.7
FH8068003067403,Intel,Celeron J4105,35.7
,Intel,Core2 Duo P7550,35.7
,Intel,Celeron E3300,35.6
FM980PADY44AB,AMD,FX-9800P APU (2016 M.BR),35.6
,AMD,A4-3400 APU,35.5
,Intel,Core2 Duo P7450,35.5
,AMD,A4-3300 APU,35.5
,Intel,Core2 6400,35.5
,AMD,Phenom II P940,35.4
,Intel,Core2 Duo E4700,35.4
,AMD,Athlon Dual Core 4450e,35.4
,AMD,A10-9620P APU (2016 M.BR),35.3
,AMD,Turion II Neo N54L,35.3
,AMD,A6-4400M APU,35.2
,AMD,Athlon Dual Core 4450B,35.2
,Intel,Pentium J2900,35.2
AD9500AHABBOX,AMD,A6-9500E APU (2016 D.BR),35.2
,Intel,Pentium P6100,35.2
,Intel,Celeron E3400,35.2
,Intel,Core2 6320,35.1
,AMD,Sempron 140,35.1
,Intel,Core2 Duo T7500,35.1
,Intel,Core2 Duo T8100,35.0
,AMD,A4-4300M APU,35.0
,AMD,A12-9720P APU (2016 M.BR),35.0
,AMD,Athlon II P340,34.9
,AMD,A6-7400K APU (2014 D.Ka),34.8
,Intel,Core2 Duo P7350,34.8
,AMD,Athlon LE-1640,34.7
,AMD,Athlon 64 X2 Dual Core 4800+,34.7
,Intel,Pentium N3530,34.7
,AMD,A6-3400M APU,34.6
,Intel,Core2 Duo T6670,34.6
,Intel,Celeron Dual Core T3300,34.5
,Intel,Core2 Duo T6600,34.5
,AMD,Athlon 64 X2 Dual Core 4200+,34.5
,AMD,A8-4555M APU,34.5
,Intel,Core2 6300,34.5
,Intel,Pentium N3520,34.4
,Intel,Core2 Duo T6400,34.4
,Intel,Core2 Duo T6500,34.4
,Intel,Core2 Duo T7300,34.4
,AMD,A4-3330MX APU,34.3
,Intel,Core2 Duo E4600,34.3
,AMD,Athlon 64 3400+,34.2
,Intel,Xeon E5310,34.1
,Intel,Core2 Duo T5870,34.1
,AMD,A4-7210 APU (2015 M.Ca),34.0
,AMD,A9-9430 APU (2016 M.SR),34.0
,AMD,Athlon 64 X2 Dual Core 3800+,34.0
,Intel,Pentium T4400,34.0
,Intel,Core2 Duo T7250,34.0
,AMD,Athlon II P320,34.0
,AMD,V140,34.0
,AMD,Turion II Mobile M500,34.0
,Intel,Core2 T7600,34.0
,Intel,Celeron J1900,33.9
,Intel,Celeron Dual Core T3100,33.9
,Intel,Core2 Duo T5900,33.9
,Intel,Core2 Duo T5670,33.9
FH8068003067406,Intel,Pentium Silver N5000,33.9
AM970PADY44AB,AMD,A12-9700P APU (2016 M.BR),33.9
,Intel,Core2 Duo T6570,33.9
,Intel,Pentium T4500,33.9
,Intel,Pentium T4200,33.9
,AMD,Athlon 64 X2 Dual Core 4400+,33.9
,Intel,Celeron N2930,33.8
AD9500AGABBOX,AMD,A6-9500 APU (2016 D.BR),33.8
,AMD,Athlon 5350 APU R3,33.8
,Intel,Celeron 847,33.8
,Intel,Pentium T4300,33.7
,Intel,Core2 Duo T5800,33.6
,Intel,Pentium N3540,33.5
,AMD,V120,33.5
,Intel,Core2 Duo E4500,33.4
,AMD,Athlon 64 3000+,33.3
,AMD,Athlon II M320,33.3
,Intel,Core2 Duo E4400,33.3
,Intel,Core2 Duo L9300,33.3
,Intel,Core2 T7400,33.2
,Intel,Pentium Dual E2200,33.2
,AMD,Athlon 64 3500+,33.2
,Intel,Core2 Duo L7500,33.1
AM960PADY44AB,AMD,A10-9600P APU (2016 M.BR),33.1
,Intel,Core2 4400,33.1
,Intel,Pentium Dual E2180,33.0
,AMD,A4-3300M APU,33.0
,Intel,Pentium J4205,32.9
,Intel,Pentium Dual T3400,32.9
,AMD,Turion 64 X2 Mobile Technology TL-60,32.9
,AMD,FX-7500 APU (2014 M.Ka),32.8
,Intel,Core2 Duo U9600,32.7
,Intel,Core2 Duo T7100,32.7
FH8068003067408,Intel,Celeron N4100,32.7
,AMD,Athlon 64 3800+,32.6
,AMD,Turion X2 Ultra Mobile ZM-82,32.6
,Intel,Core2 4300,32.5
,AMD,A6-7310 APU (2015 M.Ca),32.5
,Intel,Core2 Duo U9400,32.4
,Intel,Atom Z3775,32.3
,Intel,Pentium N3510,32.3
,AMD,Athlon 64 X2 Dual Core 3600+,32.3
,Intel,Core2 T7200,32.2
,Intel,T2500,32.2
,AMD,A8-7100 APU (2014 M.Ka),32.1
,Intel,Core2 Duo T5850,32.1
,Intel,Pentium 4 3.80GHz,32.1
,AMD,A6-4455M APU,32.1
,AMD,Turion 64 Mobile Technology ML-32,32.1
,Intel,Pentium D 3.40GHz,32.1
,AMD,Athlon 64 4000+,32.1
,Intel,Pentium Dual E2160,32.1
,Intel,T2400,31.9
,Intel,T2600,31.9
,Intel,Pentium Dual T3200,31.9
,AMD,A8-6410 APU R5 Graphics,31.8
,AMD,Athlon II M300,31.8
,AMD,Athlon 64 3200+,31.8
,AMD,Turion 64 X2 Mobile Technology TL-58,31.7
,AMD,A4-4355M APU,31.7
,Intel,T2300,31.5
,Intel,Core2 T5500,31.5
,Intel,Core2 Duo T5750,31.5
,AMD,A4-3305M APU,31.5
,Intel,Core2 T5600,31.4
,Intel,Core2 Duo T5550,31.2
,AMD,A8-7410 APU (2015 M.Ca),31.2
,Intel,Atom Z3770,31.1
,Intel,Core2 Duo T5450,31.1
,Intel,Core i3 U 380,30.9
,Intel,2140,30.9
,Intel,Pentium D 3.20GHz,30.9
,AMD,Athlon 64 X2 Dual Core 4000+,30.9
,Intel,Celeron N2920,30.9
,Intel,Pentium Dual E2140,30.7
,Intel,T2080,30.7
,Intel,Pentium 4 3.40GHz,30.7
,Intel,Core i5 U 470,30.7
,Intel,Core2 Duo T5250,30.6
,AMD,A10-7300 APU (2014 M.Ka),30.6
,Intel,Core2 Duo L7100,30.6
,AMD,Turion 64 X2 Mobile Technology TL-56,30.5
,AMD,A6-5200 APU,30.4
,Intel,Celeron 900,30.3
,AMD,A9-9400 APU (2016 M.SR),30.3
AM9210AVY23AC,AMD,A6-9210 APU (2016 M.SR),30.3
,Intel,U7300,30.1
,Intel,Core i3 U 330,30.1
,Intel,Pentium 4 3.20GHz,30.1
,Intel,T2250,30.0
,Intel,U2300,29.9
,Intel,Atom Z3740,29.9
,Intel,Core2 T5300,29.9
,Intel,Core Duo T2350,29.9
,AMD,E2-3000M APU,29.9
,AMD,Turion 64 X2 Mobile Technology TL-52,29.8
,AMD,Turion X2 Dual-Core Mobile RM-70,29.8
,Intel,Pentium N4200,29.8
,Intel,Celeron E1500,29.7
,Intel,Celeron E1400,29.7
,Intel,Pentium D 3.00GHz,29.6
,AMD,A9-9410 APU (2016 M.SR),29.6
,Intel,Pentium Dual T2370,29.6
,Intel,575,29.5
,AMD,A4-6210 APU R3 Graphics,29.5
,Intel,Pentium D 2.80GHz,29.5
,AMD,Sempron 3400+,29.4
,AMD,E2-7110 APU (2015 M.Ca),29.4
,Intel,U4100,29.3
