Part Number,Brand,Model,Benchmark
100-100000457BOX,AMD,Ryzen 5 5500,86.1
100-100000011WOF,AMD,Ryzen TR 3970X,86.1
,AMD,Ryzen 7 7735HS,85.9
100-100000071BOX,AMD,Ryzen 7 3700X,85.9
BX80671I76900K,Intel,Core i7-6900K,85.9
100-000000163,AMD,Ryzen TR 3990X,85.8
BX8069510940X,Intel,Core i9-10940X,85.7
,Intel,Core i9-10900T,85.5
BX80673I99940X,Intel,Core i9-9940X,85.4
,Intel,Core i5-10600T,85.3
BX8070110400F,Intel,Core i5-10400F,85.2
,Intel,Core i7-10700T,85.2
BX8069510900X,Intel,Core i9-10900X,85.1
,Intel,Core i7-1260P,85.0
BX80658i75775C,Intel,Core i7-5775C,84.9
BX80673I99960X,Intel,Core i9-9960X,84.9
100-100000281BOX,AMD,Ryzen 5 3600XT,84.8
BX80684I59400F,Intel,Core i5-9400F,84.8
BX8070110400,Intel,Core i5-10400,84.5
,Intel,Core i9-10980HK,84.4
BX8070110500,Intel,Core i5-10500,84.2
BX8069510980XE,Intel,Core i9-10980XE,84.2
BX80677I57640X,Intel,Core i5-7640X,84.1
100-100000022BOX,AMD,Ryzen 5 3600X,84.1
BX80677I77700K,Intel,Core i7-7700K,84.0
BX80673I99900X,Intel,Core i9-9900X,83.7
BX80671I76850K,Intel,Core i7-6850K,83.6
BX80673I97940X,Intel,Core i9-7940X,83.3
BX80673I97960X,Intel,Core i9-7960X,83.2
100-100000031BOX,AMD,Ryzen 5 3600,83.1
BX80673I99980X,Intel,Core i9-9980XE,83.0
,Intel,Core i5-1240P,83.0
BX80673I79800X,Intel,Core i7-9800X,82.9
,AMD,Ryzen 7 PRO 4750G,82.9
CM8068403358708,Intel,Core i5-8600T,82.2
BX8070110105F,Intel,Core i3-10105F,82.2
BX80684I58500,Intel,Core i5-8500,82.1
,Intel,Xeon E3-1270 v6,81.9
BX80673I97900X,Intel,Core i9-7900X,81.9
BX80673I99820X,Intel,Core i9-9820X,81.9
,Intel,Core i9-9980HK,81.8
BX80684I58400,Intel,Core i5-8400,81.8
100-1000000158,AMD,Ryzen 5 3500X,81.7
BX80684I38350K,Intel,Core i3-8350K,81.7
,Intel,Xeon E3-1245 v6,81.6
BX80673I97920X,Intel,Core i9-7920X,81.6
BX80658i55675C,Intel,Core i5-5675C,81.5
,Intel,Core i9-10885H,81.2
YD295XA8UGAAF,AMD,Ryzen TR 2950X,81.1
100-1000000050,AMD,Ryzen 5 3500,80.9
BX80662I76700K,Intel,Core i7-6700K,80.8
YD292XA8AFWOF,AMD,Ryzen TR 2920X,80.7
BX80671I76800K,Intel,Core i7-6800K,80.6
,Intel,Core i7-5775R,80.5
,Intel,Core i7-8809G,80.5
BX80648I75960X,Intel,Core i7-5960X,80.5
,Intel,Core i7-5950HQ,80.4
BX8070110100F,Intel,Core i3-10100F,80.4
,AMD,Ryzen 5 PRO 4650G,80.2
,Intel,Core i5-11400H,80.1
BX80673I77820X,Intel,Core i7-7820X,80.1
BX80673I97980X,Intel,Core i9-7980XE,80.1
BX80684I39100F,Intel,Core i3-9100F,80.1
,AMD,Ryzen 7 4800U,80.1
,AMD,Ryzen 9 6900HX,79.9
BX80684I38300,Intel,Core i3-8300,79.9
BX8070110100,Intel,Core i3-10100,79.9
BX80648I75930K,Intel,Core i7-5930K,79.8
100-100000159BOX,AMD,Ryzen 3 3300X,79.7
BX80684I39100,Intel,Core i3-9100,79.7
,Intel,Core i7-10850H,79.5
,Intel,Xeon E3-1230 v6,79.4
CM8068403358413,Intel,Core i7-8700T,79.4
,Intel,Core i5-10400H,79.2
,Intel,Core i7-10870H,79.1
YD297XAZAFWOF,AMD,Ryzen TR 2970WX,79.0
BX80646I74790K,Intel,Core i7-4790K,78.9
CL8068404069006,Intel,Core i9-9880H,78.9
YD299XAZAFWOF,AMD,Ryzen TR 2990WX,78.9
,Intel,Core i5-9400H,78.9
,Intel,Core i7-10875H,78.8
,Intel,Core i3-10300T,78.7
BX80633I74960X,Intel,Core i7-4960X,78.4
,Intel,Core i5-10500T,78.3
,Intel,Xeon E3-1286 v3,78.2
,Intel,Core i5-10400T,78.1
,AMD,Ryzen 9 5980HS,78.1
,Intel,Core i3-10100T,78.0
,AMD,Ryzen 5 4600G,78.0
,Intel,Core i7-11375H,78.0
,AMD,Ryzen 9 5900HX,78.0
,AMD,Ryzen 7 6800H,78.0
,Intel,Core i7-3970X,77.9
BX80673I77800X,Intel,Core i7-7800X,77.9
,Intel,Core i7-5850HQ,77.8
FH8067703417418,Intel,Core i7-8706G,77.7
BX80619I73960X,Intel,Core i7-3960X,77.7
,Intel,Core i7 X 990,77.7
YD192XA8AEWOF,AMD,Ryzen TR 1920X,77.6
