price,part number
287.95,F4-3200C16D-32GTZR
368.95,F4-3200C16D-16GTRG
28.75,F4-3200C16D-64GTZN
68.95,CMW16GX4M2Z3200C16
10.25,F4-3600C18D-64GTRG
67.95,CMH16GX4M2Z3200C16
36.95,CMT32GX4M2D3600C18
66.5,CMG64GX4M2D3600C18
41.5,CMN32GX4M2Z3600C18W
27.95,CMK128GX4M4Z3600C18
59.95,F4-4400C19D-32GTRS
117.95,CMK64GX5M2B5200C40
99.5,F5-6000J3040F16GX2-RS5K
220.95,KF556C40BBAK2-16
79.5,KF560C40BBAK2-16
217.95,F4-4266C19D-32GTZR
73.95,CMK32GX5M2B5200C40W
176.95,F5-6000J3238G32GX2-TZ5RS
235.95,CMG64GX4M2D3600C18
124.95,F5-7600J3646G16GX2-TZ5RS
433.95,CMH32GX5M2X7200C34
163.95,CMT64GX5M2B6000Z40
311.95,KF560C40BBA-32
194.95,KF556C40BWAK2-64
109.95,F5-6000J3636F32GX2-RS5K
134.95,F3-1600C9S-8GXM
148.95,CML8GX3M1A1600C10
163.95,F3-2133C11D-16GXL
468.95,F4-2400C15D-16GNT
223.95,CMK16GX4M2A2400C16
426.95,CMK16GX4M1A2400C14
371.95,CMK32GX4M2A2133C13
439.95,F4-3200C16D-16GVGB
187.95,F4-2400C15S-8GIS
246.95,KCP3L16ND8/8
253.95,F4-2400C15D-32GTZR
30.75,F4-2400C17D-8GIS
52.95,F4-3200C16Q-64GSXWB
72.5,F4-3600C19D-32GSXWB
45.75,F4-3600C18Q-32GTZN
54.5,CMSA32GX4M2A2666C18
49.95,CMK16GX4M2Z4000C18
95.95,F4-3600C16D-16GTRSC
53.95,F4-4000C18D-16GTZRB
23.75,F4-3600C16D-16GVKC
51.5,F4-4000C15Q-32GTZR
115.95,F4-3200C16D-64GTZR
24.5,F4-4000C16D-16GVK
194.95,F4-4000C18Q-128GTZR
101.95,CMW32GX4M2E3200C16W
168.95,F4-4000C18D-32GTRS
105.95,CMK32GX4M4D3600C16
105.95,KF432C16BBAK2/32
112.95,KF432C16BB1/16
100.95,KF426C13RBK2/16
69.5,CMK32GX5M2B5200C40
307.95,CMT32GX5M2X6200C36
215.95,KF552C40BB-8
119.95,CMT64GX5M2B5600C40W
521.95,F4-4266C19D-32GVK
114.95,CMW32GX4M2E3200C16W
149.95,CMH64GX4M2D3600C18
134.95,KF556C36BBE-16
120.95,F5-6000J3636F16GX2-RS5K
54.95,F5-6000J3238G32GX2-TZ5N
66.95,CMH64GX5M2B6000Z40
162.95,CMK32GX5M2B6400C32
263.95,CMK64GX5M4B5600Z36
45.5,F5-6400J3239G32GX2-RS5K
409.95,CMK48GX5M2B5600C40
117.95,CMH48GX5M2B7000C40
200.95,CMH192GX5M4B5200C38
241.95,KF560C32RWAK2-64
88.5,KF556C36BWEAK2-32
222.95,CMT64GX5M2B6000C30
499.95,F5-6800J3445G32GX2-TZ5RK
384.95,F5-6800J3445G32GX2-RS5K
215.95,F5-6600J3440G16GX2-RS5K
349.95,F3-10600CL9D-8GBNT
361.95,CMV4GX4M1A2133C15
236.95,CMK16GX4M2D3000C16W
330.95,F4-3600C19D-16GSXKB
849.95,F4-3600C19D-16GTZRB
272.95,F4-3200C16D-32GTZN
144.95,F4-4000C18Q-32GVK
321.95,CMW64GX4M2E3200C16
406.95,CMW8GX4M1Z3200C16
380.95,F4-4266C17D-32GTRSB
160.95,F4-3600C16D-64GTZR
24.75,CMW16GX4M2D3600C16
21.25,CMH64GX4M4D3600C18W
57.5,CMK64GX4M4D3600C18
57.5,CMW32GX4M2D3000C16
79.5,CMN64GX4M2Z3600C18
124.95,CMT32GX5M2X6000C36
139.95,KF560C40BBAK2-32
235.95,F5-5600J4040C16GX2-RS5W
41.5,KF564C32RSAK2-32
317.95,F5-6000J3038F16GX2-TZ5N
292.95,CMK64GX5M4B5600C36
97.5,CMH32GX5M2E6200C36
242.95,KF560C36BWEAK2-64
211.95,CMK64GX4M4D3600C18
