part number,brand,model,benchmark,memory
,WD,WD4500HLHX-01JJPV0,66.3,450
,WD,WD2001FASS-00U0B0,66.2,2048
WD20PURX,WD,Purple,66.2,2048
WD30PURX,WD,Purple,66.1,3072
WD40EZRX,WD,Green,66.1,4096
,Hitachi,HDS723020BLA642,65.7,2048
,Hitachi,HDS5C3020BLE630,65.4,2048
WD10PURX,WD,Purple,65.4,1024
,Seagate,ST500NM0011,65.0,500
ST3000DM007,Seagate,Barracuda,64.8,3072
WD20EZRZ,WD,Blue,64.8,2048
WD1502FAEX,WD,Black 1.,64.7,5120
,Hitachi,HUA723020ALA640,64.6,2048
,WD,WD10EURX,64.2,1024
,Seagate,Expansion Desk,64.1,4096
,WD,WD45 00HLHX-01JJPV0,64.0,450
WD10EZRX,WD,Green,64.0,1024
,Hitachi,HUA723020ALA641,63.8,2048
,WD,WD1501FASS-00U0B 1.,63.7,5120
,WD,WD3000HLHX-01JJPV0,63.6,300
WD20EZRX,WD,Green,63.6,2048
,WD,WD30EURX,63.3,3072
,Samsung,HD103SM,63.2,1024
ST8000AS0002,Seagate,Archive HDD,62.5,8192
WD40E31X,WD,Blue SSHD,62.4,4096
WD30EZRX,WD,Green,62.3,3072
,Seagate,Backup+ Desk,62.2,4096
,Toshiba,MK1002TSKB,62.2,1024
,WD,WD30EURS-63SPKY0,61.4,3072
ST5000DM000,Seagate,Barracuda Desktop,61.3,5120
,Seagate,ST31000524NS,61.3,1024
WD1003FBYZ,WD,Re,60.7,1024
,Hitachi,HCS5C2020ALA632,60.6,2048
,Hitachi,HUA722010CLA330,60.5,1024
,Hitachi,HDS721050DLE630,60.4,500
WD5003ABYX,WD,RE4,59.8,500
,Hitachi,HDS721010CLA330,59.8,1024
,WD,WD7502AAEX-00Y9A0,59.7,750
,Hitachi,HTS721010A9,59.6,1024
WD1003FBYX,WD,RE4,59.5,1024
,Seagate,ST32000641AS,59.4,2048
,Samsung,HD322GJ,59.3,320
HD103SJ,Samsung,Spinpoint F3,59.2,1024
HTS721010A9E630,HGST,"Travelstar 7K1000 2.5""",59.1,1024
,Seagate,ST3500514NS,59.1,500
,WD,WD3000BLFS-08YBU0,59.0,300
,Seagate,ST500DM005 HD502HJ,59.0,500
ST2000DL003,Seagate,Barracuda Green,58.9,2048
WD2503ABYX,WD,RE4,58.5,250
,Samsung,HD502HJ,58.4,500
ST500DM002,Seagate,Barracuda 7200.14,58.4,500
,Hitachi,HDS723015BLA642 1.,58.2,5120
,Hitachi,HDS72101,58.2,1024
,Toshiba,MK1002TS,58.1,1024
,Hitachi,HDS721010CLA630,58.1,1024
ST2000VX002,Seagate,Surveillance,57.9,2048
,Hitachi,HDS721010CLA632,57.9,1024
MQ01ABD100H,Toshiba,"Notebook SSHD 2.5""",57.6,1024
,WD,WD3000GLFS-01F8U0,57.5,300
,WD,WD1001FALS-41Y6A1,57.4,1024
,WD,WD30EZRS-00J99B0,57.4,3072
,WD,WD740HLFS-01G6U0,57.4,74
,Hitachi,HDS721050CLA360,57.3,500
,WD,WD6402AAEX-00Z3A0,57.3,640
,WD,WD7500AALX-009BA0,57.3,750
,Hitachi,HDS721075CLA332,57.3,750
ST1000DL002,Seagate,Barracuda Green,57.1,1024
,Hitachi,HDS5C4040ALE630,57.1,4096
ST2000DL001,Seagate,Barracuda Green,57.0,2048
,Apple,HDD WDC WD10EALX-408EA0,56.9,1024
WD10EALX,WD,Blue,56.9,1024
WD10EALS,WD,Blue,56.9,1024
WD3000HLFS,WD,VelociRaptor,56.8,300
WD1002FAEX,WD,Black,56.8,1024
HDS721010CLA332,Hitachi,Deskstar 7K1000.C,56.7,1024
,Seagate,ST2000DL 004 HD204UI,56.7,2048
,WD,WD1001FAES-60Z2A0,56.6,1024
,Seagate,ST3500411SV,56.6,500
WD5000AZRX,WD,Green,56.6,500
,Samsung,HD254GJ,56.6,250
,Hitachi,HDS721050CLA362,56.4,500
,Hitachi,HTS721010A9E6300,56.4,1024
,WD,WD1001FALS-00U9B0,56.2,1024
,Seagate,ST31000525SV,56.2,1024
,Hitachi,HDS721050CLA662,56.0,500
,Hitachi,HDS72202,55.8,2048
,WD,WD20EURS-63S48Y0,55.7,2048
,Hitachi,HDS72105,55.7,500
,WD,WD1500HLFS-01G6U1,55.5,150
,WD,WD5002AALX-00J37A0,55.5,500
,Seagate,STM3500418AS,55.5,500
,Samsung,HD253GJ,55.5,250
,Seagate,ST3500410SV,55.4,500
,Hitachi,HDS722020ALA330,55.1,2048
HD204UI,Samsung,Spinpoint F4,54.9,2048
ST1000DM000,Seagate,Desktop HDD,54.9,1024
ST31500341AS,Seagate,Barracuda 7200.11 1.,54.9,5120
,Hitachi,HDS5C3020ALA632,54.7,2048
,WD,WD10EUCX-63YZ1Y0,54.6,1024
,Seagate,ST3500410AS,54.6,500
ST3500413AS,Seagate,Barracuda 7200.12,54.5,500
ST250DM000,Seagate,Barracuda 7200.14,54.3,250
,WD,WD800HLFS-75G6U0,54.3,80
WD7500BPKX,WD,"Black 2.5""",54.1,750
,Hitachi,HDS721050CLA660,54.1,500
WD25EZRX,WD,Green 2.,54.1,5120
,,WL1000GSA6472R,54.0,1024
ST31000524AS,Seagate,Barracuda 7200.12,53.9,1024
,WD,WD5000AUDX-63WNHY0,53.9,500
ST3500418AS,Seagate,Barracuda 7200.12,53.8,500
,Samsung,HD155UI 1.,53.8,5120
WD7500BPKT,WD,"Black 2.5""",53.7,750
,Hitachi,HTS725050A7E630,53.6,500
,Seagate,ST31500341AS 1.,53.4,5120
ST1500DL003,Seagate,Barracuda Green 1.,53.4,5120
,Hitachi,HTS725050A7E63,53.2,500
,Seagate,ST31000524AS,53.0,1024
,WD,WD5002ABYS-02B1B0,52.9,500
,,GB0500EAFYL,52.9,500
WD5000AAKX,WD,Blue,52.6,500
ST1000LM014,Seagate,"Laptop SSHD 2.5"" (",52.6,32
,Seagate,STM31000528AS,52.6,1024
,Hitachi,HDS721025CLA382,52.4,250
,Toshiba,MQ01ACF050,52.4,500
,WD,WD1600HLFS-60G6U2,52.3,160
,Seagate,ST31000333AS,52.2,1024
,Seagate,ST3640323AS,52.2,640
,Seagate,ST3640623AS,51.9,640
,WD,WD7502ABYS-02A6B0,51.8,750
,Maxtor,STM31000333AS,51.4,1024
WD10EARX,WD,Green,51.4,1024
,,GB0250EAFYK,51.2,250
,WD,WD2502ABYS-18B7A0,51.2,250
,Hitachi,HDS5C3030ALA630,51.0,3072
,Seagate,ST2000LM003 HN-M201RAD,51.0,2048
WD20EARX,WD,Green,50.9,2048
,Hitachi,HDT721075SLA380,50.8,750
,Seagate,ST9750422AS,50.8,750
WD7501AALS,WD,Black,50.7,750
WD7500AZRX,WD,Green,50.7,750
,WD,WD25EZRS-00J99B0 2.,50.6,5120
,Samsung,HD102UJ,50.6,1024
,Toshiba,MQ01ACF032,50.4,320
,Seagate,ST310005 28AS,50.4,1024
ST3750525AS,Seagate,Barracuda 7200.12,50.3,750
,,GB1000EAMYC,50.2,1024
WD20EARS,WD,Green,50.2,2048
WD2500AAKX,WD,Blue,50.1,250
,Hitachi,HDS721010CLA,50.0,1024
,Samsung,HE103UJ,50.0,1024
,WD,WD1002FBYS-02A6B0,49.9,1024
ST320DM000,Seagate,Barracuda 7200.14,49.9,320
,Seagate,ST31000520AS,49.8,1024
,Seagate,FA GoFlex Desk,49.6,2048
WD6400AAKS,WD,Blue,49.6,640
WD6401AALS,WD,Black,49.6,640
,Seagate,ST3250312AS,49.5,250
WD05PURZ,WD,Purple Surveillance,49.5,500
,Hitachi,HDE721010SLA330,49.5,1024
,WD,WD2002FYPS-01U1B0,49.5,2048
WD5000BPKX,WD,"Black 2.5""",49.5,500
ST12000VN0007,Seagate,IronWolf,49.3,12288
ST3250318AS,Seagate,Barracuda 7200.12,49.2,250
WD1001X06X,WD,"Black2 2.5"" 1.",49.0,122880
,Hitachi,HTS7275,49.0,750
,Hitachi,HCS5C1010CLA382,49.0,1024
,Hitachi,HDS5C1010CLA382,49.0,1024
,Hitachi,HDS721050CLA,48.9,500
,Maxtor,STM3320613AS,48.9,320
HTS727575A9E364,HGST,"Travelstar 7K750 2.5""",48.8,750
,Hitachi,HDT72101,48.8,1024
,Hitachi,HDT721075SLA360,48.7,750
,Seagate,ST3750528AS,48.7,750
,Hitachi,HDS5C3015ALA632 1.,48.6,5120
WD5000BPKT,WD,"Black 2.5""",48.6,500
ST1000LM014,Seagate,"Laptop SSHD 2.5""",48.5,1024
WD10JFCX,WD,"Red 2.5""",48.4,1024
,Hitachi,HTS72757,48.4,750
,WD,WD3202ABYS-02B7A0,48.4,320
ST750LX003,Seagate,"Momentus XT 7200 RPM 2.5""",48.4,750
,Seagate,ST3320613AS,48.3,320
,Seagate,ST31000340NS,48.3,1024
,Samsung,HD642JJ,48.0,640
WD5001AALS,WD,Black,47.9,500
,Hitachi,HDT721050SLA360,47.8,500
,Toshiba,MK6461GSYN,47.8,640
,Seagate,STM3250318AS,47.7,250
,Seagate,ST3500320NS,47.6,500
,Hitachi,HDT721010SLA360,47.6,1024
WD5000AAKS,WD,Blue,47.6,500
ST9750420AS,Seagate,"Momentus 2.5""",47.6,750
,,VB0250EAVER,47.6,250
WD15EARX,WD,Green 1.,47.5,5120
,Seagate,ST3320813AS,47.5,320
,Seagate,ST3750330NS,47.4,750
HD103UJ,Samsung,Spinpoint F1,47.4,1024
,Maxtor,S TM3320613AS,47.2,320
,Seagate,ST32000542AS,47.2,2048
,Seagate,ST31000322CS,47.1,1024
MQ02ABD100H,Toshiba,"Notebook SSHD 2.5""",47.1,1024
,Toshiba,MK3261GSY,47.1,320
,Samsung,HD321HJ,47.0,320
,Seagate,ST3500820AS,46.9,500
WD10JPVT,WD,"Blue 2.5""",46.9,1024
,WD,WD10JUCT-63J6SY0,46.7,1024
,WD,WD6400AARS-00Y5B1,46.7,640
,Toshiba,MQ01ABD100,46.7,1024
,Samsung,HD153WI 1.,46.7,5120
,Samsung,HD103SI,46.6,1024
,Toshiba,MQ02ABF100,46.6,1024
,Seagate,ST3750630AS,46.5,750
,Seagate,ST31000340AS,46.4,1024
,Apple,HDD HTS545050A7E362,46.4,500
,Seagate,ST3750330SV,46.4,750
,Seagate,ST3250310NS,46.4,250
,Maxtor,STM31000340AS,46.3,1024
WD3200AAKX,WD,Blue,46.2,320
,Seagate,ST3500312CS,46.2,500
ST2000LX001,Seagate,"FireCuda 2.5""",45.9,2048
,WD,WD15EURS-63S48Y0 1.,45.9,5120
WD20EADS,WD,Green,45.9,2048
,Toshiba,MQ01ABD050,45.9,500
,Samsung,HM250HJ,45.9,250
ST1000LX015,Seagate,"FireCuda 2.5""",45.8,1024
,Samsung,MZMPC064HBDR-000,45.8,1024
,WD,WD10S12X-55JTET0,45.8,1024
ST500LM000,Seagate,"Laptop Thin SSHD 2.5""",45.7,500
ST3500320AS,Seagate,Barracuda 7200.11,45.7,500
,Seagate,ST3500620AS,45.7,500
,Samsung,HD502HI,45.6,500
,Hitachi,HTS72755,45.5,500
,Samsung,HD322HJ,45.5,320
,Seagate,ST3500412AS,45.4,500
,Seagate,FreeAgent XTreme,45.4,1024
,Hitachi,HTS725050A9A362,45.3,500
,Samsung,HD105SI,45.3,1024
,Hitachi,HDT721064SLA360,45.3,640
,Samsung,HM320HJ,45.3,320
,Seagate,ST3750330AS,45.2,750
,Toshiba,MK3261GSYN,45.1,320
,Seagate,STM3320418AS,45.1,320
ST95005620AS,Seagate,"Momentus XT SSHD 2.5""",45.1,500
,Seagate,ST310005,45.1,1024
,Seagate,ST3160813AS,45.0,160
,Maxtor,STM3500320AS,45.0,500
WD10JPVX,WD,"Blue 2.5""",45.0,1024
,Hitachi,HTS541010A9,44.9,1024
,Seagate,ST1000LM014-SSHD-,44.9,8
,Samsung,HD161GJ,44.9,160
HM640JJ,Samsung,"Spinpoint MP4 2.5""",44.8,640
WD7500BPVX,WD,"Blue 2.5""",44.8,750
,Hitachi,HDT721032SLA360,44.8,320
WD3200AAKS,WD,Blue,44.7,320
WD10SPCX,WD,"Blue 2.5""",44.7,1024
,Maxtor,STM3160813AS,44.7,160
,WD,WD10EURS-630AB1,44.7,1024
,Seagate,ST31500541AS 1.,44.7,5120
,WD,WD6400AADS-00M2B0,44.7,640
ST3320413AS,Seagate,Barracuda 7200.12,44.6,320
,Hitachi,HDS5C1050CLA382,44.6,500
,WD,WD10EADX-00TDHB0,44.6,1024
WD15EARS,WD,Green 1.,44.6,5120
HD154UI,Samsung,Spinpoint F2,44.6,1024
,Hitachi,HTS541515A9E630 1.,44.6,5120
WD10EARS,WD,Green,44.4,1024
,Toshiba,MQ01ABD0,44.2,500
WD3200AAJS,WD,Blue,44.2,320
ST500LX005,Seagate,SSHD,44.2,500
HD203WI,Samsung,Spinpoint F3,44.2,2048
,Toshiba,MK7559GSXF,44.2,750
,Seagate,ST3250312CS,44.2,250
,Toshiba,MK6461GSY,44.2,640
,WD,WD8000AARS-00Y5B1,44.2,800
WD5000LPVT,WD,"Blue 2.5""",44.1,500
,Seagate,ST3320418AS,44.1,320
,Seagate,ST500LM000-SSHD-,44.0,8
WD5000LPCX,WD,"Blue 2.5""",44.0,500
WD2500AAKS,WD,Blue,44.0,250
ST500LX003,Seagate,"Momentus XT 7200 RPM 2.5""",43.8,500
ST320LT007,Seagate,"Momentus Thin 7200 2.5""",43.7,320
,Samsung,HD503HI,43.6,500
HD753LJ,Samsung,Spinpoint F1,43.6,750
WD5000BEKT,WD,"Black 2.5""",43.5,500
HM500JJ,Samsung,"Spinpoint MP4 2.5""",43.4,500
,Toshiba,MQ01ABF050,43.2,500
,WD,WD3200AVJS-63WDA0,43.1,320
,Seagate,ST500LM012 HN-M500MBB,43.0,500
,WD,WD10EVDS-63N5B1,43.0,1024
WD5000LPVX,WD,"Blue 2.5""",42.9,500
,Toshiba,MQ01ABD075,42.9,750
,Hitachi,HTS725050A9A364,42.9,500
,Samsung,HD250HJ,42.8,250
WD15EADS,WD,Green 1.,42.8,5120
WD7500LPCX,WD,"Blue 2.5""",42.8,750
,Samsung,HD502IJ,42.7,500
,Seagate,ST750LM000-1EJ16G,42.7,750
,Seagate,ST320LT009-9WC142,42.7,320
,Hitachi,HTS725032A7E630,42.5,320
HTS541010A9E680,HGST,"Travelstar 5K1000 2.5""",42.5,1024
,WD,WD75 00AARS-00Y5B,42.5,750
,Hitachi,HDT721032SLA380,42.4,320
,WD,WD10JPCX-24UE4T0,42.3,1024
ST9500420AS,Seagate,"Momentus 2.5""",42.3,500
,Samsung,HD252HJ,42.2,250
WD10J31X,WD,Blue SSHD,42.2,1024
,Toshiba,MK5061GSY,42.2,500
,Seagate,ST3250410AS,42.1,250
ST1000LM024,Seagate,"Momentus 2.5""",42.0,1024
,Toshiba,MK5061GSYN,42.0,500
,Seagate,ST3250310AS,42.0,250
WD10EADS,WD,Green,41.9,1024
,Samsung,HN-M101MBB,41.9,1024
,Seagate,ST500LX012-SSHD-,41.9,8
ST500LT012,Seagate,"Momentus Thin 5400.9 2.5""",41.8,500
WD7500AAKS,WD,Blue,41.8,750
HTS541075A9E680,HGST,"Travelstar 5K1000 2.5""",41.8,750
,Toshiba,MK2556GSY,41.6,250
,Toshiba,MK5056GSY,41.6,500
HTS727550A9E364,HGST,"Travelstar 7K750 2.5""",41.6,500
ST500LX025,Seagate,"FireCuda 2.5""",41.6,500
,Maxtor,STM3250310AS,41.6,250
,WD,WD15EVDS-73V9B1 1.,41.6,5120
,Hitachi,HTS725050A9A360,41.5,500
,Hitachi,HDT721016SLA380,41.4,160
,Hitachi,HDP72505,41.4,500
WD7500AADS,WD,Green,41.2,750
WD3200BEKX,WD,"Black 2.5""",41.2,320
