designation,price,description
Textorm 32 Go (2x 16 Go) DDR5 4800 MHz CL40,127.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-38400 - TXU16G1M480040K2
G.Skill RipJaws X Series 16 Go (2x 8 Go) DDR3 1333 MHz,49.95,DDR3-SDRAM PC3-10666 - F3-10666CL9D-16GBXL
G.Skill Aegis 8 Go (1 x 8 Go) DDR4 3000 MHz CL16,22.50,RAM DDR4 PC4-24000 - F4-3000C16S-8GISB
G.Skill Trident Z5 RGB 32 Go (2 x 16 Go) DDR5 6400 MHz CL32 - Noir,246.95,Kit Dual Channel 2 barrettes de RAM DDR5 PC5-51200 - F5-6400J3239G16GX2-TZ5RK
Corsair Vengeance LPX Series Low Profile 32 Go (2x 16 Go) DDR4 2133 MHz CL13,95.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-17000 - CMK32GX4M2A2133C13
Corsair Vengeance LPX Series Low Profile 8 Go DDR4 3200 MHz CL16,30.95,RAM DDR4 PC4-25600 - CMK8GX4M1Z3200C16
G.Skill Aegis 32 Go (2 x 16 Go) DDR4 2400 MHz CL17,75.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-19200 - F4-2400C17D-32GIS
Corsair Vengeance RGB PRO SL Series 16 Go (2 x 8 Go) DDR4 3200 MHz CL16 - Blanc,75.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-25600 - CMH16GX4M2E3200C16W
Corsair Vengeance RGB PRO SL Series 32 Go (2 x 16 Go) DDR4 3600 MHz CL18 - Blanc,117.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-28800 - CMH32GX4M2D3600C18W
G.Skill Trident Z Neo 16 Go (2x 8 Go) DDR4 4000 MHz CL16,173.95,Kit Dual Channel 2 barrettes de RAM DDR4 PC4-32000 - F4-4000C16D-16GTZNA avec LED RGB
Kingston FURY Beast 8 Go DDR4 2666 MHz CL16,30.75,RAM DDR4 PC4-21300 - KF426C16BB/8
