designation,price,description
ASUS ROG MAXIMUS Z790 HERO,629.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - Thunderbolt 4 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.3
Gigabyte B650M GAMING X AX,189.95,Carte mère Micro ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 4.0 16x - Wi-Fi 6E - LAN 2.5 GbE
Gigabyte Z790 AORUS ELITE DDR4,247.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE
ASUS TUF GAMING X570-PLUS (WI-FI),237.95,Carte mère ATX Socket AM4 AMD X570 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.1 - 2x PCI-Express 4.0 16x - LAN GbE - Wi-Fi AC
MSI PRO B760-VC WIFI,145.95,Carte mère ATX Socket 1700 Intel B760 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE - Wi-Fi AC/Bluetooth 5.1
ASUS ROG STRIX Z790-E GAMING WIFI,543.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2
MSI B450M PRO-VDH MAX,74.50,Carte mère micro-ATX Socket AM4 AMD B450 - 4x DDR4 - SATA 6Gb/s + M.2 - USB 3.0 - 1x PCI-Express 3.0 16x
ASUS ROG STRIX Z790-F GAMING WIFI,461.95,Carte mère ATX Socket 1700 Intel Z790 Express - 4x DDR5 - M.2 PCIe 4.0 - USB 3.2 - PCI-Express 5.0 16x - LAN 2.5 GbE - Wi-Fi 6E/Bluetooth 5.2
ASUS TUF GAMING B650M-PLUS WIFI,221.95,Carte mère Micro ATX Socket AM5 AMD B650 - 4x DDR5 - M.2 PCIe 5.0 - USB 3.2 - PCI-Express 4.0 16x - LAN 2.5 GbE - Wi-Fi 6
Gigabyte B660M DS3H DDR4,106.95,Carte mère Micro ATX Socket 1700 Intel B660 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.1 - LAN 2.5 GbE - PCI-Express 4.0 16x
ASUS PRIME Z690-P WIFI D4,199.95,Carte mère ATX Socket 1700 Intel Z690 Express - 4x DDR4 - SATA 6Gb/s + M.2 PCI-E NVMe - USB 3.2 - LAN 2.5 GbE - Wi-Fi 6/Bluetooth 5.2 - PCI-Express 5.0 16x
Gigabyte B760 GAMING X DDR4,138.95,Carte mère ATX Socket 1700 Intel B760 Express - 4x DDR4 - M.2 PCIe 4.0 - USB 3.1 - PCI-Express 4.0 16x - LAN 2.5 GbE
