designation,price,description
AMD Ryzen 7 5700G Wraith Stealth (3.8 GHz / 4.6 GHz),214.95,Processeur 8-Core 16-Threads socket AM4 Cache L3 16 Mo Radeon Vega Graphics 8 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans)
Intel Core i7-13700K (3.4 GHz / 5.4 GHz),476.95,Processeur 16-Core (8 Performance-Cores + 8 Efficient-Cores) 24-Threads Socket 1700 Cache L3 30 Mo Intel UHD Graphics 770 0.010 micron (version boîte sans ventilateur - garantie Intel 3 ans)
Intel Core i5-10400F (2.9 GHz / 4.3 GHz),102.95,Processeur 6-Core 12-Threads Socket 1200 Cache L3 12 Mo 0.014 micron (version boîte - garantie Intel 3 ans)
Intel Core i5-12400 (2.5 GHz / 4.4 GHz),204.95,Processeur 6-Core (6 Performance-Cores) 12-Threads Socket 1700 Cache L3 18 Mo Intel UHD Graphics 730 0.010 micron (version boîte avec ventilateur - garantie Intel 3 ans)
Intel Core i5-13600K (3.5 GHz / 5.1 GHz),358.95,Processeur 14-Core (6 Performance-Cores + 8 Efficient-Cores) 20-Threads Socket 1700 Cache L3 24 Mo Intel UHD Graphics 770 0.010 micron (version boîte sans ventilateur - garantie Intel 3 ans)
Intel Core i9-12900K (3.2 GHz / 5.2 GHz),494.95,Processeur 16-Core (8 Performance-Cores + 8 Efficient-Cores) 24-Threads Socket 1700 Cache L3 30 Mo Intel UHD Graphics 770 0.010 micron (version boîte sans ventilateur - garantie Intel 3 ans)
AMD Ryzen 5 4600G Wraith Stealth (3.7 GHz / 4.2 GHz),113.95,Processeur 6-Core 12-Threads socket AM4 Cache L3 8 Mo Radeon Vega 7 Graphics TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans)
AMD Ryzen 9 7900X (4.7 GHz / 5.6 GHz),484.95,Processeur 12-Core 24-Threads socket AM5 GameCache 76 Mo 5 nm TDP 170W (version boîte sans ventilateur - garantie constructeur 3 ans)
Intel Core i5-12600K (3.7 GHz / 4.9 GHz),281.95,Processeur 10-Core (6 Performance-Cores + 4 Efficient-Cores) 16-Threads Socket 1700 Cache L3 20 Mo Intel UHD Graphics 770 0.010 micron (version boîte sans ventilateur - garantie Intel 3 ans)
AMD Ryzen 7 7700X (4.5 GHz / 5.4 GHz),382.95,Processeur 8-Core 16-Threads socket AM5 GameCache 40 Mo 5 nm TDP 105W (version boîte sans ventilateur - garantie constructeur 3 ans)
Intel Core i5-10400 (2.9 GHz / 4.3 GHz),145.95,Processeur 6-Core 12-Threads Socket 1200 Cache L3 12 Mo Intel UHD Graphics 630 0.014 micron (version boîte - garantie Intel 3 ans)
Intel Core i7-13700F (2.1 GHz / 5.2 GHz),410.95,Processeur 16-Core (8 Performance-Cores + 8 Efficient-Cores) 24-Threads Socket 1700 Cache L3 30 Mo 0.010 micron (version boîte - garantie Intel 3 ans)
AMD Ryzen 5 4500 Wraith Stealth (3.6 GHz / 4.1 GHz),98.95,Processeur 6-Core 12-Threads socket AM4 Cache 11 Mo 7 nm TDP 65W avec système de refroidissement (version boîte - garantie constructeur 3 ans)
