designation,price,description
Seagate IronWolf Pro 18 To (ST18000NT001),487.95,"Disque dur 3.5"" 18 To 7200 RPM 256 Mo Serial ATA 6 Gb/s 550 To/an pour NAS 512e (bulk)"
Western Digital WD Purple 4 To,106.95,"Toshiba L200 2 To (bulk) - Disque dur 2.5"" 9.5mm 2 To 5400 RPM 128 Mo Serial ATA III - HDWL120UZSVA"
"WD_Black 3.5"" Gaming Hard Drive 4 To SATA 6Gb/s",198.95,"WD_Black 3.5"" Gaming Hard Drive 2 To SATA 6Gb/s - Disque dur 3.5"" 2 To 7200 RPM 64 Mo Serial ATA 6Gb/s - WD2003FZEX"
Western Digital WD Blue Mobile 2 To,94.95,"Western Digital WD Gold 10 To (WD102KRYZ) - Disque dur 3.5"" 10 To 7200 RPM 256 Mo Serial ATA 6 Gb/s 512e pour Centres de données (bulk)"
Western Digital WD Gold 4 To (WD4003FRYZ),168.95,"WD_Black 3.5"" Gaming Hard Drive 6 To SATA 6Gb/s - Disque dur 3.5"" 6 To 7200 RPM 128 Mo Serial ATA 6Gb/s - WD6004FZWX"
"WD_Black 3.5"" Gaming Hard Drive 10 To SATA 6Gb/s",356.95,"Seagate Exos 7E8 3.5 HDD 4 To (ST4000NM003A) - Disque dur serveur 3.5"" 4 To 7200 RPM 256 Mo SAS 3.0 12 Gb/s 512n (bulk)"
Western Digital Ultrastar DC HA210 2 To (1W10002),113.95,"Seagate IronWolf Pro 20 To (ST20000NE000) - Disque dur 3.5"" 20 To 7200 RPM 256 Mo Serial ATA 6 Gb/s pour NAS 512e (bulk)"
Western Digital WD Black Mobile 1 To,72.95,"Seagate IronWolf Pro 22 To (ST22000NT001) - Disque dur 3.5"" 22 To 7200 RPM 512 Mo Serial ATA 6 Gb/s 550 To/an pour NAS 512e (bulk)"
Toshiba X300 16 To,404.95,"Western Digital WD AV-GP 2 To SATA 6Gb/s - Disque dur 3.5"" 2 To 7200 RPM 64 Mo Serial ATA 6Gb/s - WD20EURX (bulk)"
Seagate Exos 7E8 3.5 HDD 2 To (ST2000NM000A),134.95,"Toshiba S300 6 To - Disque dur 3.5"" 6 To 7200 RPM 256 Mo Serial ATA III pour systèmes de surveillance"
Western Digital Ultrastar DC HC550 18 To (0F38353),391.95,"Toshiba N300 12 To - Disque dur 3.5"" 12 To 7200 RPM 256 Mo Serial ATA III pour NAS"
Toshiba L200 2 To (bulk),68.95,"Toshiba X300 10 To - Disque dur 3.5"" 10 To 7200 RPM 256 Mo Serial ATA III"
