designation,price,description
Fractal Design Meshify C TG (Noir),126.95,Boîtier Moyen Tour Noir avec fenêtre en verre trempé
Cooler Master Silencio S400,90.50,Boîtier Mini Tour avec gestion du bruit avancée
Zalman Z10 Duo,119.95,"Boîtier Moyen Tour avec panneau en verre trempé, façade mesh et 4 ventilateurs ARGB"
Fractal Design Define R6 Black,180.95,Boîtier Moyen Tour
Aerocool Playa,77.50,Boîtier Moyen Tour avec rétroéclairage RGB et fenêtres en verre trempé
be quiet! Pure Base 500DX (Noir),117.95,Boîtier moyen tour avec fenêtre en verre trempé et LEDs ARGB
MSI MPG GUNGNIR 110R Noir,143.95,Boîtier Moyen Tour Gaming avec fenêtre en verre trempé et rétroéclairage ARGB
NZXT H7 Elite Noir,245.95,Boîtier moyen tour avec fenêtre latérale et façade en verre trempé
Lian Li LANCOOL III RGB Blanc,160.95,Boitier Moyen-Tour avec panneaux en verre trempé et 4 ventilateurs 140 mm
be quiet! Pure Base 500 FX (Noir),143.95,Boîtier moyen tour avec fenêtre en verre trempé et LEDs ARGB
ASUS Prime AP201 - Blanc,93.95,Boîtier Mini Tour avec panneaux et façade MESH
ASUS TUF Gaming GT502 - Noir,170.95,Boîtier Moyen Tour avec panneau latéral et façade en verre trempé
