designation,price,description
Samsung SSD 980 M.2 PCIe NVMe 250 Go,47.75,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Crucial MX500 250 Go,42.75,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Black SN850X 2 To,213.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Corsair Force MP600 GS 2 To,126.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Textorm BM5 SSD 120 Go,12.75,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston SSD A400 960 Go,72.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston KC3000 1024 Go,93.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Seagate SSD FireCuda 520 500 Go (2022),49.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Blue SN570 500 Go,51.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Crucial P3 2 To,109.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Blue SA510 250 Go - M.2,43.25,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Seagate SSD FireCuda 520 1 To (2022),77.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston KC600 256 Go,42.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston FURY Renegade 500 Go,77.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Intel SSD 660p 1 To,68.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD M.2 WD Red SA500 500 Go,58.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Textorm BM5 SSD 960 Go,42.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Crucial P5 Plus 500 Go,76.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Blue SA510 1 To - M.2,77.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
"Western Digital SSD WD Blue SA510 500 Go - 2.5""",51.50,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Kingston SSD NV2 4 To,247.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
Western Digital SSD WD Green 2 To,136.95,"Samsung SSD 870 EVO 4 To - SSD 4 To Cache 4 Go 2.5"" 6.8 mm TLC Serial ATA 6Gb/s"
