Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071513700F,Intel,Core i7-13700F,12,121,582,https://cpu.userbenchmark.com/SpeedTest/1997481/13th-Gen-IntelR-CoreTM-i7-13700F
CPU,BX8071513700K,Intel,Core i7-13700K,5,126,19309,https://cpu.userbenchmark.com/Intel-Core-i7-13700K/Rating/4137
CPU,BX8071513700KF,Intel,Core i7-13700KF,4,126,9391,https://cpu.userbenchmark.com/SpeedTest/1925886/13th-Gen-IntelR-CoreTM-i7-13700KF
CPU,BX80623I72600,Intel,Core i7-2600,418,67.1,185630,https://cpu.userbenchmark.com/Intel-Core-i7-2600/Rating/620
CPU,BX80623I72600K,Intel,Core i7-2600K,352,70.6,147533,https://cpu.userbenchmark.com/Intel-Core-i7-2600K/Rating/621
CPU,FF8062700837005,Intel,Core i7-2630QM,637,55.2,39605,https://cpu.userbenchmark.com/Intel-Core-i7-2630QM/Rating/2729
CPU,BX80623I72700K,Intel,Core i7-2700K,299,73,20692,https://cpu.userbenchmark.com/Intel-Core-i7-2700K/Rating/1985
CPU,AW8063801013511,Intel,Core i7-3610QM,511,62,38575,https://cpu.userbenchmark.com/Intel-Core-i7-3610QM/Rating/2730
CPU,AW8063801106200,Intel,Core i7-3630QM,529,60.8,65927,https://cpu.userbenchmark.com/Intel-Core-i7-3630QM/Rating/626
CPU,BX80637I73770,Intel,Core i7-3770,385,69,278207,https://cpu.userbenchmark.com/Intel-Core-i7-3770/Rating/1979
CPU,BX80637I73770K,Intel,Core i7-3770K,315,72.4,165979,https://cpu.userbenchmark.com/Intel-Core-i7-3770K/Rating/1317
CPU,BX80619I73930K,Intel,Core i7-3930K,277,74.4,33172,https://cpu.userbenchmark.com/Intel-Core-i7-3930K/Rating/1487
CPU,BX80619I73960X,Intel,Core i7-3960X,237,77.7,2165,https://cpu.userbenchmark.com/Intel-Core-i7-3960X/Rating/1973
CPU,CW8064701470702,Intel,Core i7-4700MQ,564,58.6,69603,https://cpu.userbenchmark.com/Intel-Core-i7-4700MQ/Rating/2727
CPU,BX80646I74770,Intel,Core i7-4770,353,70.5,176321,https://cpu.userbenchmark.com/Intel-Core-i7-4770/Rating/1978
CPU,BX80646I74770K,Intel,Core i7-4770K,289,73.6,172887,https://cpu.userbenchmark.com/Intel-Core-i7-4770K/Rating/1537
CPU,BX80646I74771,Intel,Core i7-4771,290,73.5,11180,https://cpu.userbenchmark.com/Intel-Core-i7-4771/Rating/2008
CPU,BX80646I74790,Intel,Core i7-4790,333,71.4,255027,https://cpu.userbenchmark.com/Intel-Core-i7-4790/Rating/2293
CPU,BX80646I74790K,Intel,Core i7-4790K,217,78.9,455746,https://cpu.userbenchmark.com/Intel-Core-i7-4790K/Rating/2384
CPU,BX80633I74820K,Intel,Core i7-4820K,324,71.8,23169,https://cpu.userbenchmark.com/Intel-Core-i7-4820K/Rating/1675
CPU,BX80647I74900MQ,Intel,Core i7-4900MQ,411,67.6,5651,https://cpu.userbenchmark.com/Intel-Core-i7-4900MQ/Rating/1994
CPU,BX80633I74930K,Intel,Core i7-4930K,246,76.9,22204,https://cpu.userbenchmark.com/Intel-Core-i7-4930K/Rating/1976
CPU,BX80633I74960X,Intel,Core i7-4960X,223,78.4,5121,https://cpu.userbenchmark.com/Intel-Core-i7-4960X/Rating/1977
CPU,BX80658i75775C,Intel,Core i7-5775C,155,84.9,2527,https://cpu.userbenchmark.com/SpeedTest/30276/IntelR-CoreTM-i7-5775C-CPU---330GHz
CPU,BX80648I75820K,Intel,Core i7-5820K,249,76.8,101694,https://cpu.userbenchmark.com/Intel-Core-i7-5820K/Rating/2579
CPU,BX80648I75930K,Intel,Core i7-5930K,208,79.8,34039,https://cpu.userbenchmark.com/Intel-Core-i7-5930K/Rating/2578
